# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
8.907000000000000028e+00 1.254000000000000014e-16
9.221999999999999531e+00 1.251000000000000015e-16
9.548000000000000043e+00 1.248000000000000015e-16
9.884999999999999787e+00 1.245000000000000016e-16
1.023000000000000043e+01 1.242000000000000016e-16
1.059999999999999964e+01 1.239000000000000017e-16
1.097000000000000064e+01 1.235000000000000100e-16
1.135999999999999943e+01 1.232000000000000100e-16
1.175999999999999979e+01 1.227999999999999937e-16
1.216999999999999993e+01 1.224000000000000020e-16
1.259999999999999964e+01 1.220000000000000103e-16
1.305000000000000071e+01 1.217000000000000103e-16
1.350999999999999979e+01 1.212999999999999940e-16
1.399000000000000021e+01 1.209000000000000023e-16
1.448000000000000043e+01 1.205000000000000105e-16
1.499000000000000021e+01 1.200999999999999942e-16
1.551999999999999957e+01 1.197000000000000025e-16
1.607000000000000028e+01 1.193000000000000108e-16
1.664000000000000057e+01 1.188999999999999944e-16
1.723000000000000043e+01 1.185000000000000027e-16
1.782999999999999829e+01 1.181000000000000110e-16
1.846000000000000085e+01 1.176999999999999946e-16
1.912000000000000099e+01 1.173000000000000029e-16
1.978999999999999915e+01 1.169000000000000112e-16
2.048999999999999844e+01 1.164999999999999949e-16
2.121000000000000085e+01 1.161000000000000031e-16
2.196000000000000085e+01 1.157000000000000114e-16
2.273999999999999844e+01 1.152999999999999951e-16
2.353999999999999915e+01 1.149000000000000034e-16
2.437000000000000099e+01 1.145000000000000117e-16
2.523999999999999844e+01 1.140999999999999953e-16
2.612999999999999901e+01 1.137000000000000036e-16
2.705000000000000071e+01 1.133000000000000119e-16
2.801000000000000156e+01 1.128000000000000038e-16
2.898999999999999844e+01 1.124000000000000120e-16
3.001999999999999957e+01 1.119000000000000039e-16
3.107999999999999829e+01 1.115000000000000122e-16
3.217999999999999972e+01 1.110000000000000041e-16
3.331000000000000227e+01 1.104999999999999960e-16
3.449000000000000199e+01 1.100000000000000002e-16
3.571000000000000085e+01 1.094000000000000003e-16
3.696999999999999886e+01 1.088000000000000004e-16
3.827000000000000313e+01 1.082000000000000005e-16
3.963000000000000256e+01 1.076000000000000006e-16
4.103000000000000114e+01 1.068999999999999966e-16
4.247999999999999687e+01 1.062000000000000050e-16
4.397999999999999687e+01 1.053999999999999969e-16
4.553000000000000114e+01 1.046000000000000012e-16
4.714000000000000057e+01 1.037000000000000013e-16
4.879999999999999716e+01 1.028000000000000015e-16
5.053000000000000114e+01 1.017000000000000058e-16
5.231000000000000227e+01 1.005999999999999978e-16
5.415999999999999659e+01 9.941999999999999637e-17
5.607000000000000028e+01 9.813000000000000401e-17
5.804999999999999716e+01 9.673999999999999523e-17
6.010000000000000142e+01 9.524999999999999468e-17
6.222999999999999687e+01 9.366000000000000237e-17
6.442000000000000171e+01 9.195999999999999447e-17
6.670000000000000284e+01 9.013999999999999645e-17
6.906000000000000227e+01 8.823000000000000584e-17
7.148999999999999488e+01 8.621999999999999882e-17
7.401999999999999602e+01 8.411000000000000003e-17
7.662999999999999545e+01 8.191999999999999551e-17
7.934000000000000341e+01 7.963999999999999839e-17
8.214000000000000057e+01 7.729999999999999390e-17
8.504000000000000625e+01 7.488999999999999517e-17
8.804999999999999716e+01 7.243000000000000055e-17
9.115999999999999659e+01 6.993999999999999608e-17
9.437999999999999545e+01 6.741999999999999408e-17
9.770999999999999375e+01 6.489000000000000524e-17
1.012000000000000028e+02 6.237000000000000324e-17
1.047000000000000028e+02 5.986999999999999959e-17
1.084000000000000057e+02 5.738999999999999430e-17
1.122999999999999972e+02 5.494999999999999804e-17
1.162000000000000028e+02 5.255999999999999766e-17
1.202999999999999972e+02 5.022999999999999850e-17
1.245999999999999943e+02 4.796000000000000057e-17
1.290000000000000000e+02 4.576000000000000303e-17
1.335000000000000000e+02 4.362000000000000055e-17
1.383000000000000114e+02 4.158000000000000216e-17
1.430999999999999943e+02 3.961999999999999718e-17
1.481999999999999886e+02 3.772999999999999876e-17
1.534000000000000057e+02 3.593999999999999827e-17
1.589000000000000057e+02 3.421999999999999818e-17
1.645000000000000000e+02 3.261000000000000135e-17
1.703000000000000114e+02 3.105000000000000041e-17
1.763000000000000114e+02 2.956999999999999904e-17
1.825000000000000000e+02 2.816999999999999725e-17
1.890000000000000000e+02 2.685000000000000119e-17
1.955999999999999943e+02 2.559000000000000019e-17
2.025999999999999943e+02 2.439000000000000041e-17
2.096999999999999886e+02 2.326000000000000103e-17
2.170999999999999943e+02 2.219999999999999897e-17
2.248000000000000114e+02 2.118999999999999895e-17
2.326999999999999886e+02 2.023000000000000098e-17
2.409000000000000057e+02 1.933000000000000114e-17
2.495000000000000000e+02 1.847000000000000110e-17
2.583000000000000114e+02 1.766000000000000002e-17
2.673999999999999773e+02 1.690000000000000098e-17
2.768000000000000114e+02 1.616999999999999947e-17
2.866000000000000227e+02 1.548000000000000083e-17
2.966999999999999886e+02 1.481999999999999972e-17
3.071999999999999886e+02 1.420000000000000148e-17
3.181000000000000227e+02 1.361000000000000077e-17
3.293000000000000114e+02 1.305000000000000066e-17
3.408999999999999773e+02 1.251999999999999963e-17
3.530000000000000000e+02 1.201000000000000003e-17
3.653999999999999773e+02 1.152000000000000033e-17
3.783000000000000114e+02 1.105999999999999970e-17
3.916999999999999886e+02 1.062000000000000050e-17
4.055000000000000000e+02 1.019999999999999965e-17
4.198999999999999773e+02 9.802999999999999376e-18
4.346999999999999886e+02 9.418000000000000269e-18
4.501000000000000227e+02 9.050000000000000378e-18
4.660000000000000000e+02 8.697999999999999478e-18
4.823999999999999773e+02 8.360000000000000198e-18
4.995000000000000000e+02 8.034000000000000545e-18
5.171000000000000227e+02 7.723999999999999884e-18
5.353999999999999773e+02 7.427000000000000617e-18
5.542999999999999545e+02 7.141000000000000752e-18
5.737999999999999545e+02 6.866999999999999745e-18
5.941000000000000227e+02 6.603999999999999681e-18
6.151000000000000227e+02 6.351000000000000333e-18
6.367999999999999545e+02 6.108000000000000163e-18
6.592999999999999545e+02 5.876000000000000165e-18
6.826000000000000227e+02 5.651000000000000206e-18
7.067000000000000455e+02 5.433999999999999743e-18
7.317000000000000455e+02 5.225999999999999771e-18
7.575000000000000000e+02 5.024999999999999839e-18
7.842999999999999545e+02 4.832000000000000173e-18
8.120000000000000000e+02 4.645999999999999776e-18
8.407000000000000455e+02 4.467000000000000189e-18
8.703999999999999773e+02 4.294999999999999872e-18
9.011000000000000227e+02 4.129000000000000139e-18
9.328999999999999773e+02 3.969000000000000220e-18
9.658999999999999773e+02 3.813999999999999889e-18
1.000000000000000000e+03 3.663999999999999917e-18
-----------------------


C34 O2 Excitation 0.38 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 8.526999999999999734e-26
1.350999999999999979e+01 2.879000000000000114e-25
1.399000000000000021e+01 6.786000000000000072e-25
1.448000000000000043e+01 1.474000000000000051e-24
1.499000000000000021e+01 3.062000000000000147e-24
1.551999999999999957e+01 6.290000000000000190e-24
1.607000000000000028e+01 1.262000000000000027e-23
1.664000000000000057e+01 2.501000000000000008e-23
1.723000000000000043e+01 4.785999999999999747e-23
1.782999999999999829e+01 8.964000000000000040e-23
1.846000000000000085e+01 1.644999999999999964e-22
1.912000000000000099e+01 2.957000000000000010e-22
1.978999999999999915e+01 5.288999999999999961e-22
2.048999999999999844e+01 9.141999999999999315e-22
2.121000000000000085e+01 1.552000000000000049e-21
2.196000000000000085e+01 2.588000000000000166e-21
2.273999999999999844e+01 4.244000000000000027e-21
2.353999999999999915e+01 6.845000000000000639e-21
2.437000000000000099e+01 1.094999999999999939e-20
2.523999999999999844e+01 1.711000000000000106e-20
2.612999999999999901e+01 2.633000000000000080e-20
2.705000000000000071e+01 3.995000000000000216e-20
2.801000000000000156e+01 5.978000000000000084e-20
2.898999999999999844e+01 8.827000000000000293e-20
3.001999999999999957e+01 1.287000000000000114e-19
3.107999999999999829e+01 1.852000000000000093e-19
3.217999999999999972e+01 2.646000000000000211e-19
3.331000000000000227e+01 3.717000000000000136e-19
3.449000000000000199e+01 5.162999999999999991e-19
3.571000000000000085e+01 7.093999999999999577e-19
3.696999999999999886e+01 9.644000000000000453e-19
3.827000000000000313e+01 1.297999999999999950e-18
3.963000000000000256e+01 1.729000000000000006e-18
4.103000000000000114e+01 2.286000000000000008e-18
4.247999999999999687e+01 2.987999999999999816e-18
4.397999999999999687e+01 3.870000000000000208e-18
4.553000000000000114e+01 4.968000000000000066e-18
4.714000000000000057e+01 6.323999999999999630e-18
4.879999999999999716e+01 7.982999999999999815e-18
5.053000000000000114e+01 9.994999999999999586e-18
5.231000000000000227e+01 1.242999999999999934e-17
5.415999999999999659e+01 1.530999999999999942e-17
5.607000000000000028e+01 1.871999999999999900e-17
5.804999999999999716e+01 2.271999999999999928e-17
6.010000000000000142e+01 2.737000000000000150e-17
6.222999999999999687e+01 3.272999999999999763e-17
6.442000000000000171e+01 3.885999999999999814e-17
6.670000000000000284e+01 4.591000000000000300e-17
6.906000000000000227e+01 5.374999999999999826e-17
7.148999999999999488e+01 6.252000000000000321e-17
7.401999999999999602e+01 7.222000000000000552e-17
7.662999999999999545e+01 8.290000000000000108e-17
7.934000000000000341e+01 9.455000000000000303e-17
8.214000000000000057e+01 1.071000000000000048e-16
8.504000000000000625e+01 1.206999999999999941e-16
8.804999999999999716e+01 1.352000000000000078e-16
9.115999999999999659e+01 1.505000000000000050e-16
9.437999999999999545e+01 1.667000000000000020e-16
9.770999999999999375e+01 1.835999999999999906e-16
1.012000000000000028e+02 2.011999999999999956e-16
1.047000000000000028e+02 2.194999999999999922e-16
1.084000000000000057e+02 2.382000000000000052e-16
1.122999999999999972e+02 2.573000000000000099e-16
1.162000000000000028e+02 2.767999999999999816e-16
1.202999999999999972e+02 2.964999999999999862e-16
1.245999999999999943e+02 3.162999999999999825e-16
1.290000000000000000e+02 3.363000000000000117e-16
1.335000000000000000e+02 3.561999999999999998e-16
1.383000000000000114e+02 3.759999999999999961e-16
1.430999999999999943e+02 3.957000000000000007e-16
1.481999999999999886e+02 4.150999999999999806e-16
1.534000000000000057e+02 4.341999999999999853e-16
1.589000000000000057e+02 4.529000000000000229e-16
1.645000000000000000e+02 4.712000000000000442e-16
1.703000000000000114e+02 4.890999999999999998e-16
1.763000000000000114e+02 5.065000000000000459e-16
1.825000000000000000e+02 5.233999999999999852e-16
1.890000000000000000e+02 5.398000000000000150e-16
1.955999999999999943e+02 5.555999999999999957e-16
2.025999999999999943e+02 5.708999999999999682e-16
2.096999999999999886e+02 5.854000000000000066e-16
2.170999999999999943e+02 5.992999999999999958e-16
2.248000000000000114e+02 6.126000000000000344e-16
2.326999999999999886e+02 6.251999999999999828e-16
2.409000000000000057e+02 6.371000000000000381e-16
2.495000000000000000e+02 6.483000000000000032e-16
2.583000000000000114e+02 6.587999999999999766e-16
2.673999999999999773e+02 6.685999999999999583e-16
2.768000000000000114e+02 6.777000000000000470e-16
2.866000000000000227e+02 6.861000000000000455e-16
2.966999999999999886e+02 6.938999999999999947e-16
3.071999999999999886e+02 7.009000000000000099e-16
3.181000000000000227e+02 7.072999999999999758e-16
3.293000000000000114e+02 7.129000000000000076e-16
3.408999999999999773e+02 7.178000000000000478e-16
3.530000000000000000e+02 7.221000000000000388e-16
3.653999999999999773e+02 7.257000000000000381e-16
3.783000000000000114e+02 7.286000000000000458e-16
3.916999999999999886e+02 7.307999999999999632e-16
4.055000000000000000e+02 7.324000000000000287e-16
4.198999999999999773e+02 7.334000000000000449e-16
4.346999999999999886e+02 7.336999999999999709e-16
4.501000000000000227e+02 7.334000000000000449e-16
4.660000000000000000e+02 7.324999999999999711e-16
4.823999999999999773e+02 7.310999999999999878e-16
4.995000000000000000e+02 7.290999999999999553e-16
5.171000000000000227e+02 7.264000000000000298e-16
5.353999999999999773e+02 7.231999999999999975e-16
5.542999999999999545e+02 7.194999999999999571e-16
5.737999999999999545e+02 7.153000000000000072e-16
5.941000000000000227e+02 7.105000000000000081e-16
6.151000000000000227e+02 7.053000000000000419e-16
6.367999999999999545e+02 6.995000000000000265e-16
6.592999999999999545e+02 6.933999999999999866e-16
6.826000000000000227e+02 6.866999999999999960e-16
7.067000000000000455e+02 6.796999999999999809e-16
7.317000000000000455e+02 6.721999999999999576e-16
7.575000000000000000e+02 6.644000000000000084e-16
7.842999999999999545e+02 6.561999999999999935e-16
8.120000000000000000e+02 6.476000000000000115e-16
8.407000000000000455e+02 6.387000000000000049e-16
8.703999999999999773e+02 6.294999999999999738e-16
9.011000000000000227e+02 6.200000000000000166e-16
9.328999999999999773e+02 6.102000000000000349e-16
9.658999999999999773e+02 6.001000000000000285e-16
1.000000000000000000e+03 5.898999999999999811e-16
-----------------------


C35 O2 Excitation 0.57 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 1.053000000000000050e-19
1.034999999999999920e+00 1.331999999999999923e-19
1.072000000000000064e+00 1.677000000000000061e-19
1.110000000000000098e+00 2.101999999999999966e-19
1.149000000000000021e+00 2.620999999999999862e-19
1.189999999999999947e+00 3.251000000000000073e-19
1.231999999999999984e+00 4.013999999999999884e-19
1.274999999999999911e+00 4.928999999999999927e-19
1.320000000000000062e+00 6.020999999999999586e-19
1.366999999999999993e+00 7.317000000000000239e-19
1.415000000000000036e+00 8.844000000000000858e-19
1.465000000000000080e+00 1.063000000000000044e-18
1.516999999999999904e+00 1.271000000000000016e-18
1.570000000000000062e+00 1.511999999999999928e-18
1.625999999999999890e+00 1.788000000000000039e-18
1.683000000000000052e+00 2.102999999999999903e-18
1.743000000000000105e+00 2.460999999999999847e-18
1.804000000000000048e+00 2.866999999999999844e-18
1.868000000000000105e+00 3.317000000000000146e-18
1.933999999999999941e+00 3.816999999999999796e-18
2.001999999999999780e+00 4.366999999999999951e-18
2.072999999999999954e+00 4.969999999999999747e-18
2.145999999999999908e+00 5.624999999999999728e-18
2.221999999999999975e+00 6.333000000000000121e-18
2.299999999999999822e+00 7.092000000000000473e-18
2.382000000000000117e+00 7.899999999999999564e-18
2.466000000000000192e+00 8.755000000000000022e-18
2.552999999999999936e+00 9.652000000000000718e-18
2.642999999999999794e+00 1.058999999999999989e-17
2.736000000000000210e+00 1.156000000000000012e-17
2.833000000000000185e+00 1.255999999999999942e-17
2.932999999999999829e+00 1.358000000000000015e-17
3.036999999999999922e+00 1.462999999999999996e-17
3.144000000000000128e+00 1.567999999999999977e-17
3.254999999999999893e+00 1.673999999999999875e-17
3.370000000000000107e+00 1.778999999999999855e-17
3.488999999999999879e+00 1.884000000000000144e-17
3.612000000000000099e+00 1.987999999999999899e-17
3.740000000000000213e+00 2.090000000000000126e-17
3.871999999999999886e+00 2.188999999999999985e-17
4.009000000000000341e+00 2.286000000000000008e-17
4.150000000000000355e+00 2.379999999999999970e-17
4.296999999999999709e+00 2.470999999999999871e-17
4.448999999999999844e+00 2.558000000000000101e-17
4.605999999999999872e+00 2.641000000000000045e-17
4.769000000000000128e+00 2.720000000000000010e-17
4.937000000000000277e+00 2.793999999999999770e-17
5.110999999999999766e+00 2.865000000000000086e-17
5.291999999999999815e+00 2.931000000000000197e-17
5.479000000000000092e+00 2.993999999999999938e-17
5.671999999999999709e+00 3.052000000000000092e-17
5.873000000000000220e+00 3.105999999999999959e-17
6.080000000000000071e+00 3.157000000000000073e-17
6.294999999999999929e+00 3.202999999999999982e-17
6.517000000000000348e+00 3.246000000000000138e-17
6.748000000000000220e+00 3.285000000000000008e-17
6.985999999999999766e+00 3.321000000000000124e-17
7.232999999999999652e+00 3.353999999999999872e-17
7.488000000000000433e+00 3.382999999999999949e-17
